ID,Тип,Артикул,Имя,Опубликован,Рекомендуемый?,Видимость в каталоге,Краткое описание,Описание,Дата начала действия скидки,Дата окончания действия скидки,Статус налога,Налоговый класс,Наличие,Запасы,Статус налога,Величина малых запасов,Возможен ли предзаказ?,Продано индивидуально?,Вес (кг),Длина (см),Ширина (см),Высота (см),Разрешить отзывы от клиентов?,Примечание к покупке,Акционная цена,Базовая цена,Категории,Метки,Класс доставки,Изображения,Лимит загрузок,Дней срока загрузки,Родительский,Сгруппированные товары,Апсэлы,Кросселы,Внешний URL,Текст кнопки,Позиция,Мета: _input_qty,Мета: _step_qty,Мета: rs_page_bg_color,Мета: _yoast_wpseo_primary_product_cat,Мета: _yoast_wpseo_metadesc,Мета: _yoast_wpseo_content_score,Мета: _yoast_wpseo_estimated-reading-time-minutes,Мета: _yoast_wpseo_wordproof_timestamp
,simple,,Листовое железо 14х1500х6000,1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 14х1500х6000 в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 14х1500х6000, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 14х1500х6000: идеальный выбор для различных применений \n\n Листовое железо 14х1500х6000 благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 14х1500х6000 в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,990,,,,,,,78210,Металлопрокат > Листовое железо,Листовое железо,,,,,,,,,,,,,,,,"Купить листовое железо 14х1500х6000 в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Листовое железо 16х1500х6000,1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 16х1500х6000 в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 16х1500х6000, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 16х1500х6000: идеальный выбор для различных применений \n\n Листовое железо 16х1500х6000 благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 16х1500х6000 в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,1131,,,,,,,89349,Металлопрокат > Листовое железо,Листовое железо,,,,,,,,,,,,,,,,"Купить листовое железо 16х1500х6000 в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Листовое железо 20х1500х6000,1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 20х1500х6000 в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 20х1500х6000, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 20х1500х6000: идеальный выбор для различных применений \n\n Листовое железо 20х1500х6000 благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 20х1500х6000 в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,1413,,,,,,,125757,Металлопрокат > Листовое железо,Листовое железо,,,,,,,,,,,,,,,,"Купить листовое железо 20х1500х6000 в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Листовое железо 25х1500х6000,1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 25х1500х6000 в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 25х1500х6000, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 25х1500х6000: идеальный выбор для различных применений \n\n Листовое железо 25х1500х6000 благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 25х1500х6000 в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,1767,,,,,,,157263,Металлопрокат > Листовое железо,Листовое железо,,,,,,,,,,,,,,,,"Купить листовое железо 25х1500х6000 в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Листовое железо 30х1500х6000,1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 30х1500х6000 в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 30х1500х6000, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 30х1500х6000: идеальный выбор для различных применений \n\n Листовое железо 30х1500х6000 благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 30х1500х6000 в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,2142,,,,,,,192780,Металлопрокат > Листовое железо,Листовое железо,,,,,,,,,,,,,,,,"Купить листовое железо 30х1500х6000 в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Листовое железо  ст09г2с 40х1500х2000 ст09г2с,1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо  ст09г2с 40х1500х2000 ст09г2с в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо  ст09г2с 40х1500х2000 ст09г2с, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо  ст09г2с 40х1500х2000 ст09г2с: идеальный выбор для различных применений \n\n Листовое железо  ст09г2с 40х1500х2000 ст09г2с благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо  ст09г2с 40х1500х2000 ст09г2с в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо  ст09г2с для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,942,,,,,,,93258,Металлопрокат > Листовое железо  ст09г2с,Листовое железо  ст09г2с,,,,,,,,,,,,,,,,"Купить листовое железо  ст09г2с 40х1500х2000 ст09г2с в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Листовое железо  ст45 4х1500х3000 ст45,1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо  ст45 4х1500х3000 ст45 в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо  ст45 4х1500х3000 ст45, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо  ст45 4х1500х3000 ст45: идеальный выбор для различных применений \n\n Листовое железо  ст45 4х1500х3000 ст45 благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо  ст45 4х1500х3000 ст45 в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо  ст45 для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,145,,,,,,,16820,Металлопрокат > Листовое железо  ст45,Листовое железо  ст45,,,,,,,,,,,,,,,,"Купить листовое железо  ст45 4х1500х3000 ст45 в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Листовое железо  ст45 6х1500х3000 ст45,1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо  ст45 6х1500х3000 ст45 в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо  ст45 6х1500х3000 ст45, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо  ст45 6х1500х3000 ст45: идеальный выбор для различных применений \n\n Листовое железо  ст45 6х1500х3000 ст45 благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо  ст45 6х1500х3000 ст45 в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо  ст45 для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,215,,,,,,,25155,Металлопрокат > Листовое железо  ст45,Листовое железо  ст45,,,,,,,,,,,,,,,,"Купить листовое железо  ст45 6х1500х3000 ст45 в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Лист рифленый 4х1500х6000 чечевица,1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист рифленый 4х1500х6000 чечевица в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист рифленый 4х1500х6000 чечевица, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист рифленый 4х1500х6000 чечевица: идеальный выбор для различных применений \n\n Лист рифленый 4х1500х6000 чечевица благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист рифленый 4х1500х6000 чечевица в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист рифленый для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,290,,,,,,,23200,Металлопрокат > Лист рифленый,Лист рифленый,,,,,,,,,,,,,,,,"Купить лист рифленый 4х1500х6000 чечевица в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Лист рифленый 5х1500х6000 чечевица,1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист рифленый 5х1500х6000 чечевица в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист рифленый 5х1500х6000 чечевица, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист рифленый 5х1500х6000 чечевица: идеальный выбор для различных применений \n\n Лист рифленый 5х1500х6000 чечевица благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист рифленый 5х1500х6000 чечевица в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист рифленый для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,365,,,,,,,29200,Металлопрокат > Лист рифленый,Лист рифленый,,,,,,,,,,,,,,,,"Купить лист рифленый 5х1500х6000 чечевица в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Лист просечно-вытяжной ПВЛ 406 1200х3400,1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Лист просечно-вытяжной ПВЛ 406 1200х3400 в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Лист просечно-вытяжной ПВЛ 406 1200х3400, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Лист просечно-вытяжной ПВЛ 406 1200х3400: идеальный выбор для различных применений \n\n Лист просечно-вытяжной ПВЛ 406 1200х3400 благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Лист просечно-вытяжной ПВЛ 406 1200х3400 в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты лист просечно-вытяжной для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,60,,,,,,,5460,Металлопрокат > Лист просечно-вытяжной,Лист просечно-вытяжной,,,,,,,,,,,,,,,,"Купить лист просечно-вытяжной ПВЛ 406 1200х3400 в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Полоса 20х4 дл. 6 м.,1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Полоса 20х4 дл. 6 м. в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Полоса 20х4 дл. 6 м., который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Полоса 20х4 дл. 6 м.: идеальный выбор для различных применений \n\n Полоса 20х4 дл. 6 м. благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Полоса 20х4 дл. 6 м. в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты полоса для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,0.65,,,,,,,58,Металлопрокат > Полоса,Полоса,,,,,,,,,,,,,,,,"Купить полоса 20х4 дл. 6 м. в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Полоса 25х4 дл. 6 м.,1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Полоса 25х4 дл. 6 м. в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Полоса 25х4 дл. 6 м., который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Полоса 25х4 дл. 6 м.: идеальный выбор для различных применений \n\n Полоса 25х4 дл. 6 м. благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Полоса 25х4 дл. 6 м. в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты полоса для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,0.8,,,,,,,68,Металлопрокат > Полоса,Полоса,,,,,,,,,,,,,,,,"Купить полоса 25х4 дл. 6 м. в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Полоса 40х4 дл. 6 м.,1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Полоса 40х4 дл. 6 м. в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Полоса 40х4 дл. 6 м., который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Полоса 40х4 дл. 6 м.: идеальный выбор для различных применений \n\n Полоса 40х4 дл. 6 м. благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Полоса 40х4 дл. 6 м. в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты полоса для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,1.26,,,,,,,101,Металлопрокат > Полоса,Полоса,,,,,,,,,,,,,,,,"Купить полоса 40х4 дл. 6 м. в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
,simple,,Полоса 50х5 дл. 6 м.,1,,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Полоса 50х5 дл. 6 м. в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Полоса 50х5 дл. 6 м., который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Полоса 50х5 дл. 6 м.: идеальный выбор для различных применений \n\n Полоса 50х5 дл. 6 м. благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Полоса 50х5 дл. 6 м. в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты полоса для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,,,1,,,,,,2.02,,,,,,,163,Металлопрокат > Полоса,Полоса,,,,,,,,,,,,,,,,"Купить полоса 50х5 дл. 6 м. в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
