ID,Тип,Артикул,Имя,Опубликован,Рекомендуемый?,"Видимость в каталоге","Краткое описание",Описание,"Дата начала действия скидки","Дата окончания действия скидки","Статус налога","Налоговый класс",Наличие,Запасы,"Величина малых запасов","Возможен ли предзаказ?","Продано индивидуально?","Вес (кг)","Длина (см)","Ширина (см)","Высота (см)","Разрешить отзывы от клиентов?","Примечание к покупке","Акционная цена","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Дней срока загрузки",Родительский,"Сгруппированные товары",Апсэлы,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Мета: _input_qty","Мета: _step_qty","Мета: rs_page_bg_color","Мета: _yoast_wpseo_primary_product_cat","Мета: _yoast_wpseo_metadesc","Мета: _yoast_wpseo_content_score","Мета: _yoast_wpseo_estimated-reading-time-minutes","Мета: _yoast_wpseo_wordproof_timestamp"
13833,simple,,"Листовое железо 0,7х1250х2500 оцинкованный",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 0,7х1250х2500 оцинкованный в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 0,7х1250х2500 оцинкованный, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 0,7х1250х2500 оцинкованный: идеальный выбор для различных применений \n\n Листовое железо 0,7х1250х2500 оцинкованный благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 0,7х1250х2500 оцинкованный в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,17.5,,,,0,,,2065,"Металлопрокат > Листовое железо","Листовое железо",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_metall.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Листовое железо 0,7х1250х2500 оцинкованный в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13834,simple,,"Листовое железо 1х1250х2500 оцинкованный",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 1х1250х2500 оцинкованный в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 1х1250х2500 оцинкованный, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 1х1250х2500 оцинкованный: идеальный выбор для различных применений \n\n Листовое железо 1х1250х2500 оцинкованный благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 1х1250х2500 оцинкованный в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,25,,,,0,,,2900,"Металлопрокат > Листовое железо","Листовое железо",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_metall.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Листовое железо 1х1250х2500 оцинкованный в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13835,simple,,"Листовое железо 1,5х1250х2500 оцинкованный",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 1,5х1250х2500 оцинкованный в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 1,5х1250х2500 оцинкованный, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 1,5х1250х2500 оцинкованный: идеальный выбор для различных применений \n\n Листовое железо 1,5х1250х2500 оцинкованный благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 1,5х1250х2500 оцинкованный в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,38,,,,0,,,4408,"Металлопрокат > Листовое железо","Листовое железо",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_metall.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Листовое железо 1,5х1250х2500 оцинкованный в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13836,simple,,"Листовое железо 2х1250х2500 оцинкованный",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 2х1250х2500 оцинкованный в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 2х1250х2500 оцинкованный, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 2х1250х2500 оцинкованный: идеальный выбор для различных применений \n\n Листовое железо 2х1250х2500 оцинкованный благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 2х1250х2500 оцинкованный в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,50,,,,0,,,5800,"Металлопрокат > Листовое железо","Листовое железо",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_metall.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Листовое железо 2х1250х2500 оцинкованный в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13837,simple,,"Листовое железо 3х1250х2500 оцинкованный",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 3х1250х2500 оцинкованный в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 3х1250х2500 оцинкованный, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 3х1250х2500 оцинкованный: идеальный выбор для различных применений \n\n Листовое железо 3х1250х2500 оцинкованный благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 3х1250х2500 оцинкованный в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,74,,,,0,,,8584,"Металлопрокат > Листовое железо","Листовое железо",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_metall.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Листовое железо 3х1250х2500 оцинкованный в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13838,simple,,"Листовое железо 1х1250х2500 х/к",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 1х1250х2500 х/к в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 1х1250х2500 х/к, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 1х1250х2500 х/к: идеальный выбор для различных применений \n\n Листовое железо 1х1250х2500 х/к благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 1х1250х2500 х/к в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,25,,,,0,,,2475,"Металлопрокат > Листовое железо","Листовое железо",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_metall.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Листовое железо 1х1250х2500 х/к в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13839,simple,,"Листовое железо 1,5х1250х2500 г/к",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 1,5х1250х2500 г/к в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 1,5х1250х2500 г/к, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 1,5х1250х2500 г/к: идеальный выбор для различных применений \n\n Листовое железо 1,5х1250х2500 г/к благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 1,5х1250х2500 г/к в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,38.5,,,,0,,,3427,"Металлопрокат > Листовое железо","Листовое железо",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_metall.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Листовое железо 1,5х1250х2500 г/к в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13840,simple,,"Листовое железо 2х1000х2000 г/к",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 2х1000х2000 г/к в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 2х1000х2000 г/к, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 2х1000х2000 г/к: идеальный выбор для различных применений \n\n Листовое железо 2х1000х2000 г/к благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 2х1000х2000 г/к в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,32,,,,0,,,2656,"Металлопрокат > Листовое железо","Листовое железо",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_metall.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Листовое железо 2х1000х2000 г/к в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13841,simple,,"Листовое железо 2х1250х2500 г/к",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 2х1250х2500 г/к в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 2х1250х2500 г/к, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 2х1250х2500 г/к: идеальный выбор для различных применений \n\n Листовое железо 2х1250х2500 г/к благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 2х1250х2500 г/к в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,50,,,,0,,,3950,"Металлопрокат > Листовое железо","Листовое железо",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_metall.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Листовое железо 2х1250х2500 г/к в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13842,simple,,"Листовое железо 3х1250х2500 г/к",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 3х1250х2500 г/к в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 3х1250х2500 г/к, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 3х1250х2500 г/к: идеальный выбор для различных применений \n\n Листовое железо 3х1250х2500 г/к благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 3х1250х2500 г/к в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,75,,,,0,,,5850,"Металлопрокат > Листовое железо","Листовое железо",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_metall.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Листовое железо 3х1250х2500 г/к в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13843,simple,,"Листовое железо 3х1500х6000",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 3х1500х6000 в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 3х1500х6000, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 3х1500х6000: идеальный выбор для различных применений \n\n Листовое железо 3х1500х6000 благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 3х1500х6000 в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,215,,,,0,,,16770,"Металлопрокат > Листовое железо","Листовое железо",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_metall.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Листовое железо 3х1500х6000 в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13844,simple,,"Листовое железо 4х1500х6000",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 4х1500х6000 в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 4х1500х6000, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 4х1500х6000: идеальный выбор для различных применений \n\n Листовое железо 4х1500х6000 благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 4х1500х6000 в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,283,,,,0,,,21791,"Металлопрокат > Листовое железо","Листовое железо",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_metall.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Листовое железо 4х1500х6000 в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13845,simple,,"Листовое железо 5х1500х6000",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 5х1500х6000 в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 5х1500х6000, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 5х1500х6000: идеальный выбор для различных применений \n\n Листовое железо 5х1500х6000 благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 5х1500х6000 в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,353,,,,0,,,27181,"Металлопрокат > Листовое железо","Листовое железо",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_metall.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Листовое железо 5х1500х6000 в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13846,simple,,"Листовое железо 6х1500х6000",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 6х1500х6000 в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 6х1500х6000, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 6х1500х6000: идеальный выбор для различных применений \n\n Листовое железо 6х1500х6000 благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 6х1500х6000 в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,424,,,,0,,,32648,"Металлопрокат > Листовое железо","Листовое железо",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_metall.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Листовое железо 6х1500х6000 в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
13847,simple,,"Листовое железо 8х1500х6000",1,0,visible,"Цена указана за единицу листа/метра.\n\n\n\nЦена указана при оплате наличными/картой[sc name=""price_metalloprokat""][/sc]","Приобретайте качественный Листовое железо 8х1500х6000 в Красноуфимске, Первоуральске и Новоуральске у надежного поставщика металлопроката! \n\n В поисках надежного и долговечного решения для ваших производственных и конструкционных нужд? ""ООО СтальГрад"" предлагает высококачественный лист Листовое железо 8х1500х6000, который соответствует всем стандартам качества и промышленным требованиям. Будь вы представителем организации или частным лицом, наш широкий ассортимент металлопроката удовлетворит любые потребности проекта.\n\n Листовое железо 8х1500х6000: идеальный выбор для различных применений \n\n Листовое железо 8х1500х6000 благодаря своей коррозионной стойкости и прочности идеально подходит для использования в самых разных сферах - от строительства до изготовления бытовой техники и автомобильных компонентов. Мы гарантируем, что получаете продукт высшего качества по конкурентоспособным ценам. \n\n Листовое железо 8х1500х6000 в Красноуфимске, Первоуральске, Новоуральске? \n\n Наши металлобазы в указанных городах обеспечивают удобный доступ к покупке необходимых вам материалов. Ознакомьтесь с нашим каталогом онлайн или посетите наше представительство для консультации и оформления заказа. Мы предлагаем различные варианты листовое железо для удовлетворения любых потребностей вашего проекта, а также гибкие условия доставки.",,,taxable,,1,,,0,0,565,,,,0,,,43505,"Металлопрокат > Листовое железо","Листовое железо",,https://stalnoydwor.ru/wp-content/uploads/2022/01/prod_list_metall.jpg,,,,,,,,,0,,,,,"Купить - Металлопрокат Листовое железо 8х1500х6000 в Первоуральске, Красноуфимске, Новоуральске по доступным ценам.",,,
